序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业,date
8,601086,国芳集团,9.952038764953613,9.17,232455626,6107220000.0,6107220000.0,3.8064563274383545,84343826,092502,105205,1,2/2,2,一般零售,20260831
9,600540,新赛股份,10.099010467529297,5.56,39566761,3232455897.6,3232455897.6,1.2240464687347412,246778242,092504,092504,0,3/3,3,种植业,20260831
10,002375,亚厦股份,10.0,4.07,120519238,5417155596.27,5453785738.72,2.2405099868774414,33365046,093015,093436,3,1/1,1,装修装饰,20260831
11,002886,沃特股份,10.0,29.04,1885965312,6071629882.559999,7643431527.599999,31.392820358276367,39240009,093027,140815,7,7/4,3,塑料,20260831
12,002855,捷荣技术,9.972677230834961,16.1,565427776,3964258435.2000003,3967356880.2000003,14.488382339477539,34681010,093103,100951,5,5/5,5,消费电子,20260831
13,002098,浔兴股份,9.986504554748535,8.15,86425158,2917700000.0,2917700000.0,2.984240770339966,14095425,093118,093118,0,1/1,1,纺织制造,20260831
14,000712,锦龙股份,10.0,12.98,3119349440,11626628942.5,11630080000.0,27.43531036376953,52450882,093133,142609,3,4/4,4,证券Ⅱ,20260831
15,002534,西子洁能,9.986684799194336,16.52,137221991,13635030064.32,13809649239.68,1.015695333480835,168303744,093136,093142,1,1/1,1,其他电源,20260831
16,002169,智光电气,10.008203506469727,13.41,309032640,10203990397.47,10496061927.36,3.0750317573547363,94983030,093142,093230,1,1/1,1,电网设备,20260831
17,600691,潞化科技,9.863945960998535,3.23,437009792,7673142624.96,7674421704.96,5.813710689544678,43728386,093209,095948,1,2/2,2,农化制品,20260831
18,001221,悍高集团,9.994668960571289,41.27,300949264,3172406493.5800004,16508412700.000002,9.553241729736328,33165025,093315,132448,6,1/1,1,家居用品,20260831
19,601882,海天精工,9.989959716796875,21.91,223856257,11437020000.0,11437020000.0,1.9834851026535034,31377924,093330,093430,1,1/1,1,通用设备,20260831
20,600110,诺德股份,9.9634370803833,12.03,1699415664,20874226611.96,20874226563.84,8.27534294128418,171295470,093336,093421,1,1/1,1,电池,20260831
21,603270,金帝股份,10.0,30.25,270645808,2139179176.75,6627976676.75,12.811914443969727,46237125,093442,093833,2,1/1,1,通用设备,20260831
22,000892,欢瑞世纪,9.974424362182617,4.3,226322636,3056434857.2,4218216064.0,7.524365425109863,158916820,093451,093451,0,1/1,1,影视院线,20260831
23,600227,赤天化,10.043667793273926,5.04,1044807616,6439103007.12,8511187507.2,16.538843154907227,76193722,093515,093924,2,4/3,2,农化制品,20260831
24,300413,芒果超媒,20.0,16.98,1086735440,17348465286.84,31764839455.68,6.4140400886535645,387913397,093521,093521,0,1/1,1,数字媒体,20260831
25,603269,海鸥股份,10.009016990661621,24.4,1089466656,10539469956.0,10539469907.199999,10.549492835998535,29005256,093529,094126,4,3/3,3,通用设备,20260831
26,603721,中广天择,10.023041725158691,19.1,100222873,2483000000.0,2483000000.0,4.087230205535889,61782789,093531,093607,1,1/1,1,影视院线,20260831
27,605287,德才股份,10.0,41.58,373426768,5821200000.0,5821200000.0,6.5847859382629395,73779552,093628,103713,2,1/1,1,装修装饰,20260831
28,603216,梦天家居,10.00485610961914,22.65,163320099,5043928500.0,5043928500.0,3.2931878566741943,75041715,093634,094622,2,1/1,1,家居用品,20260831
29,601330,绿色动力,10.0,7.81,214854259,7724833793.16,11171463237.439999,2.8093645572662354,46855642,093637,093637,0,1/1,1,环境治理,20260831
30,603893,瑞芯微,10.0,194.59,3436081936,82328995534.5,82339503783.68001,4.213590145111084,180462766,093723,100526,1,1/1,1,半导体,20260831
31,603978,深圳新星,9.989484786987305,20.92,459661488,4416092735.08,4416092735.08,10.578208923339844,22380216,093916,102210,3,1/1,1,金属新材,20260831
32,301151,冠龙节能,20.023147583007812,20.74,169487559,3500508254.4199996,3505145033.9999995,5.026749134063721,72628783,094115,094115,0,1/1,1,通用设备,20260831
33,002081,金 螳 螂,10.0,6.16,1597935920,16339711523.52,16356793967.36,10.181163787841797,244163920,094212,094212,0,1/1,1,装修装饰,20260831
34,603989,艾华集团,10.0,31.46,1262212720,12545614395.6,12545614269.76,10.241647720336914,51886978,094234,112107,3,1/1,1,元件,20260831
35,003018,金富科技,10.002227783203125,49.38,1084941840,14049180487.140001,15502850209.92,7.93306303024292,92330724,094406,095500,2,1/1,1,包装印刷,20260831
36,002909,集泰股份,10.054844856262207,6.02,105879131,2290172845.66,2347800000.0,4.760239601135254,48776116,094436,094436,0,1/1,1,化学制品,20260831
37,002903,宇环数控,10.017271041870117,31.85,487507152,3425975475.65,4957818775.0,14.734976768493652,165569008,094712,094712,0,1/1,1,通用设备,20260831
