code,name,industry,lianban,limit_up_date,prev_close,prev_pct,prev_amplitude,prev_turnover,prev_volume_ratio,limit_pct,limit_gap,pct_3d,pct_5d,up_days,ma_bullish,above_ma20,ma5,ma10,ma20
002134,天津普林,元件,1,20260827,20.57,-1.72,4.44,1.86,0.76,10.01,4.86,-3.25,-2.74,0,False,False,20.93,21.55,21.11
002190,成飞集成,汽车零部,1,20260827,23.2,1.53,5.6,1.73,1.3,10.0,0.3,1.71,2.07,2,False,False,22.91,23.53,23.43
605258,协和电子,元件,1,20260827,29.0,2.36,4.2,3.31,1.31,10.0,-0.24,3.83,9.93,2,True,True,28.0,27.62,26.73
002636,金安国纪,元件,1,20260827,63.1,-1.5,5.37,6.11,1.06,10.0,2.28,-1.0,2.04,0,False,True,62.62,64.84,61.58
688300,联瑞新材,非金属材,1,20260827,155.2,6.48,11.58,8.43,1.59,20.0,1.89,6.81,10.66,2,False,True,145.59,152.16,140.73
000962,东方钽业,小金属,1,20260827,52.32,0.63,3.87,4.14,0.87,10.0,0.0,-1.3,2.69,2,False,True,52.1,53.37,51.81
600330,天通股份,电子化学,1,20260827,26.5,-3.32,6.53,10.56,0.91,10.0,2.0,-2.82,-0.56,0,True,True,27.03,26.79,23.54
002515,金字火腿,食品加工,1,20260827,7.8,-6.59,7.54,8.65,0.91,10.0,-0.26,-5.34,-3.58,0,True,True,8.09,7.97,7.43
600641,先导基电,半导体,1,20260827,30.91,-1.75,4.83,4.44,0.65,10.0,0.45,-5.04,-6.76,0,False,False,31.99,33.32,31.03
002824,和胜股份,工业金属,1,20260827,24.25,-4.04,6.25,10.08,1.4,10.02,0.66,1.25,2.93,0,False,True,24.28,24.49,23.03
601208,东材科技,塑料,1,20260827,44.64,0.77,5.46,4.32,0.74,9.99,2.78,-2.38,-0.93,2,False,True,44.82,46.29,43.36
002628,成都路桥,基础建设,1,20260827,4.8,0.0,1.67,1.38,0.67,10.0,-0.83,-2.24,-0.21,0,False,False,4.84,4.98,4.87
002852,道道全,农产品加,1,20260827,8.08,0.25,3.85,3.01,0.52,10.02,0.12,0.87,-1.58,2,True,True,8.09,8.02,7.9
000592,平潭发展,林业Ⅱ,1,20260827,6.19,0.16,4.37,4.93,0.65,10.02,0.0,1.81,0.16,2,False,False,6.1,6.31,6.36
601233,桐昆股份,炼化及贸,1,20260827,23.64,-0.3,7.04,1.5,0.84,9.98,-0.13,-4.33,-0.3,0,True,True,24.04,23.68,23.37
603093,南华期货,多元金融,1,20260827,12.29,6.41,11.0,5.71,4.53,10.01,-1.06,8.76,9.54,4,False,True,11.54,11.7,12.01
603319,美湖股份,汽车零部,1,20260827,26.77,2.14,4.62,3.96,0.89,10.01,0.0,2.1,3.8,2,False,True,25.85,26.69,25.88
603688,石英股份,非金属材,1,20260827,46.87,0.36,4.05,1.84,0.86,10.01,-0.02,-3.86,-1.22,1,False,False,47.49,48.55,47.17
001309,德明利,半导体,1,20260827,390.69,-1.6,3.21,5.24,0.63,10.0,1.15,-5.89,-0.79,0,False,False,400.26,407.05,397.38
688368,晶丰明源,半导体,1,20260827,116.9,-1.13,6.66,2.82,0.82,20.0,1.35,-7.84,-6.22,0,False,False,122.68,126.37,120.57
600345,长江通信,通信设备,1,20260827,47.33,-1.4,3.92,5.32,1.27,9.99,1.14,-0.57,5.34,0,True,True,47.33,47.31,45.91
605288,凯迪股份,自动化设,1,20260827,57.4,2.52,4.98,1.87,1.12,10.0,-1.03,0.51,3.2,1,False,False,56.44,59.11,59.01
002366,融发核电,其他电源,1,20260826,5.67,1.43,2.15,1.03,0.58,10.05,10.05,0.71,-3.74,1,False,False,5.64,5.84,6.01
301630,同宇新材,电子化学,1,20260826,164.01,1.28,6.63,5.44,1.01,20.0,19.74,-1.94,-9.77,1,False,False,165.3,171.73,165.58
605277,新亚电子,消费电子,1,20260826,15.17,4.55,6.2,1.84,1.59,10.02,9.76,2.71,0.4,1,False,True,14.71,14.99,14.98
600468,百利电气,电网设备,1,20260826,5.97,1.7,3.24,1.56,1.06,10.05,5.36,1.7,-1.97,1,False,False,5.88,6.03,6.13
688185,康希诺,生物制品,1,20260826,71.35,-5.5,7.68,11.77,1.31,20.0,15.14,10.74,27.55,0,True,True,68.46,62.44,57.09
605169,洪通燃气,燃气Ⅱ,1,20260826,11.28,4.54,6.21,2.05,0.88,10.02,8.16,2.83,4.06,1,True,True,10.98,10.61,10.32
002963,豪尔赛,装修装饰,2,20260826,20.32,10.02,10.88,7.36,2.05,9.99,3.44,18.28,11.71,4,False,True,18.09,18.21,17.23
600604,市北高新,房地产开,1,20260826,4.64,-6.07,7.09,4.25,2.28,9.91,-0.86,1.75,-0.85,0,False,True,4.61,4.72,4.59
601038,一拖股份,专用设备,1,20260826,13.03,0.77,3.4,0.85,0.87,9.98,2.07,0.77,0.0,2,False,False,12.85,12.86,13.28
605162,新中港,电力,1,20260826,9.0,0.9,7.62,6.23,0.87,10.0,-1.0,-0.11,-7.41,1,False,True,9.06,9.13,8.88
603392,万泰生物,医疗器械,1,20260826,28.1,0.04,2.88,0.73,0.89,10.0,0.43,-8.8,-2.43,1,False,False,29.12,29.54,29.92
002047,宝鹰股份,装修装饰,1,20260826,3.3,2.8,5.92,3.02,0.66,10.0,0.3,5.1,-3.23,1,False,False,3.19,3.49,3.37
000428,华天酒店,酒店餐饮,2,20260826,4.32,9.92,8.14,1.78,0.57,9.95,4.17,7.2,0.93,1,False,True,4.04,4.21,4.14
600272,开开实业,医药商业,1,20260826,19.18,5.67,18.18,35.28,1.27,10.01,1.72,4.64,-8.36,2,True,True,18.33,18.25,15.04
603979,金诚信,工业金属,1,20260826,73.37,-1.3,3.91,1.05,0.9,10.0,3.09,-2.04,-4.57,0,False,False,74.11,74.86,75.3
000997,新 大 陆,计算机设,1,20260826,18.81,2.67,3.82,2.33,1.29,9.99,8.03,3.75,4.79,1,False,True,18.23,18.09,18.3
