序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,涨停统计,连板数,所属行业,date
55,002015,协鑫能科,9.974746704101562,17.42,2048544912,28278314775.88,28278314671.360004,7.508543014526367,387199687,101033,101033,0,1/1,1,电力,20260901
56,601566,九牧王,10.04672908782959,9.42,136896388,5413081953.0,5413081971.84,2.6176106929779053,63660360,101937,101937,0,1/1,1,服装家纺,20260901
57,600792,云煤能源,9.950248718261719,4.42,222227058,4905862312.0,4905862312.0,4.685800075531006,120878160,102027,102027,0,1/1,1,焦炭Ⅱ,20260901
58,000596,古井贡酒,9.998908996582031,100.88,624340240,41219568000.0,53325168000.0,1.5607329607009888,507773225,102106,102106,0,1/1,1,白酒Ⅱ,20260901
59,603207,小方制药,10.004331588745117,25.4,142033170,1386914828.3999999,4109302474.7999997,10.471515655517578,82806540,102446,102446,0,1/1,1,化学制药,20260901
60,300927,江天化学,20.0,34.92,860998048,4919841435.6,5041051200.0,18.99835968017578,230410051,103903,103903,0,1/1,1,化学原料,20260901
61,001330,博纳影业,9.98217487335205,6.17,1391650832,7174767976.74,8480782180.64,20.36083984375,97109630,104933,112936,1,2/2,2,影视院线,20260901
62,600967,内蒙一机,10.018051147460938,12.19,691107984,20744876990.73,20744877051.68,3.4247806072235107,296127171,105105,105105,0,1/1,1,地面兵装,20260901
63,002291,遥望科技,10.073260307312012,6.01,598272800,5223442872.7,5620133415.5199995,11.955211639404297,198815007,105657,105657,0,1/1,1,广告营销,20260901
64,600318,新力金融,9.985315322875977,7.49,204542811,3840329963.6800003,3840329963.6800003,5.523478984832764,86709677,110735,110753,1,1/1,1,多元金融,20260901
65,002349,精华制药,10.0,8.36,644624160,6806552390.879999,6948232621.44,10.016632080078125,282183440,112212,112212,0,3/2,1,中药Ⅱ,20260901
66,920895,花溪科技,29.975309371948242,26.32,232066324,756355208.0,1487711680.0,36.083309173583984,54606788,130004,130004,0,4/3,1,专用设备,20260901
67,002107,沃华医药,10.0,7.37,245316957,4211191401.67,4254034752.0,6.175215244293213,76133279,130318,130345,1,3/2,1,中药Ⅱ,20260901
1,000965,天保基建,10.030394554138184,3.62,480043392,4017587839.9,4017587843.52,12.123248100280762,13143640,092500,145027,4,1/1,1,房地产开,20260831
2,002133,广宇集团,9.929078102111816,3.1,96606416,2386597623.1,2399846945.6,4.047872066497803,31150784,092500,092500,0,1/1,1,房地产开,20260831
3,000011,深物业A,10.054644584655762,10.07,115646357,5301608718.01,6001509416.16,2.181344747543335,93488873,092500,092500,0,2/2,2,房地产开,20260831
4,600371,万向德农,9.965337753295898,12.69,174057944,3712814820.0,3712814820.0,4.6880316734313965,141811384,092500,092500,0,10/7,5,种植业,20260831
5,002084,海鸥住工,10.0,6.38,39838028,4112767739.96,4121837586.24,0.9686427712440491,330898030,092500,092500,0,6/6,6,家居用品,20260831
6,002679,福建金森,10.028116226196289,11.74,59436861,2767775440.0,2767775440.0,2.1474597454071045,353959062,092500,092500,0,2/2,2,林业Ⅱ,20260831
7,000560,我爱我家,9.848484992980957,2.9,185611600,6793795545.099999,6830952459.2,2.7320752143859863,458788700,092500,092500,0,5/3,2,房地产服,20260831
8,601086,国芳集团,9.952038764953613,9.17,232455626,6107220000.0,6107220000.0,3.8064563274383545,84343826,092502,105205,1,2/2,2,一般零售,20260831
9,600540,新赛股份,10.099010467529297,5.56,39566761,3232455897.6,3232455897.6,1.2240464687347412,246778242,092504,092504,0,3/3,3,种植业,20260831
10,002375,亚厦股份,10.0,4.07,120519238,5417155596.27,5453785738.72,2.2405099868774414,33365046,093015,093436,3,1/1,1,装修装饰,20260831
11,002886,沃特股份,10.0,29.04,1885965312,6071629882.559999,7643431527.599999,31.392820358276367,39240009,093027,140815,6,7/4,3,塑料,20260831
12,002855,捷荣技术,9.972677230834961,16.1,565427776,3964258435.2000003,3967356880.2000003,14.488382339477539,34681010,093103,100951,5,5/5,5,消费电子,20260831
13,002098,浔兴股份,9.986504554748535,8.15,86425158,2917700000.0,2917700000.0,2.984240770339966,14095425,093118,093118,0,1/1,1,纺织制造,20260831
14,000712,锦龙股份,10.0,12.98,3119349440,11626628942.5,11630080000.0,27.43531036376953,52450882,093133,142609,3,4/4,4,证券Ⅱ,20260831
